2024-08-10 10:59:54,"호호 부는 튜브","파산여부 답 선형회귀 맞나요 "
2024-08-10 10:59:58,"권투하는 무지","아니 근데 이거 3일의전사 쌉가능인데요?"
2024-08-10 11:00:01,"파이팅팅","그이까요"
2024-08-10 11:00:03,"권투하는 무지","60은 충분히 나올듯"
2024-08-10 11:00:04,"부끄러운 어피치","저는 이거 했어요…."
2024-08-10 11:00:05,"가즈아","EM 알고리즘 
향상도
Mallcow cp. (2번)
alpha (p value 아님) 
무조건 제거 아님
후진선택법은 상수암을때까지 제거히는게아님(정답 2)
공통저변 문제는 공통(누구나접속)  이거하나만. 쉬움
전략적중요도
최적화 (도활확최)
insight (통찰)
엘보우계수
분산감소량 (분류모델 로직아닌것)
사과는 4/10
Apriori는 적정 지지도 기반에서 분석하는것
시그모이드가 아님
질변 9/20
t통계량 1번 
speed 
선형회귀 (분류모델이아님)"
2024-08-10 11:02:20,"선풍기 바람 쐬는 어피치","여기 답들 보니 다틀렸네"
2024-08-10 11:02:20,"엄지척 어피치","49번"
2024-08-10 11:02:22,"선풍기 바람 쐬는 어피치","ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
2024-08-10 11:02:24,"신나는 프로도","아 설마 문제에 작아지도록 이래서 분산감소량인가"
2024-08-10 11:02:25,"Okddori","저 이거 분산감소했는데"
2024-08-10 11:02:26,"신나는 프로도","아…"
2024-08-10 11:02:26,"권투하는 무지","Ar1 ar2 답 머임?"
2024-08-10 11:02:27,"아이디어 프로도","?? 1번 답 8개도안되던데"
2024-08-10 11:02:28,"베개를 부비적대는 라이언","베개를 부비적대는 라이언님이 들어왔습니다."
2024-08-10 11:02:31,"D","재현율 아니에여?49번"
2024-08-10 11:02:33,"가즈아","향상도"
2024-08-10 11:02:33,"응원하는 튜브","다른 얘기예요"
2024-08-10 11:02:35,"엄지척 프로도","엄지척 프로도님이 나갔습니다."
2024-08-10 11:02:36,"떨고있는 어피치","ㅇㅈ 1번 진짜 없던데"
2024-08-10 11:02:37,"코파","49번 향상도했는데"
2024-08-10 11:02:38,"리듬타는 제이지","자자 누가 정리해주시는 분 "
2024-08-10 11:02:39,"울고있는 어피치","3번이 엄청 많았는데 저만 그랬나요"
2024-08-10 11:02:40,"코파","문제 에바던데"
2024-08-10 11:02:40,"리듬타는 제이지","없나여"
2024-08-10 11:02:42,"피자 먹다 자는 무지","뭔가 전반적으로 3, 4번이 많았던거 같은뎅"
2024-08-10 11:02:43,"멋쩍은 튜브","1번 별로없던데"
2024-08-10 11:02:44,"떨고있는 어피치","333 이런거 엄청 많았죠"
2024-08-10 11:02:45,"피자 먹다 자는 무지","피자 먹다 자는 무지님이 들어왔습니다."
2024-08-10 11:02:45,"코파","49번 먼가요?"
2024-08-10 11:02:45,"diqdqi","diqdqi님이 나갔습니다."
2024-08-10 11:02:51,"선풍기 바람 쐬는 어피치","전 4번이 많았던.."
2024-08-10 11:02:52,"하트뽀뽀 어피치","향상도"
2024-08-10 11:02:53,"리듬타는 제이지","49범 뭔가여 하면 몰라여 "
2024-08-10 11:02:54,"코파","무슨 대비 어찌고 저찌고"
2024-08-10 11:02:55,"권투하는 무지","ㅇㅇ"
2024-08-10 11:02:55,"피스메이커 프로도","피스메이커 프로도님이 들어왔습니다."
2024-08-10 11:02:56,"비옷입은 튜브","비옷입은 튜브님이 나갔습니다."
2024-08-10 11:02:58,"리듬타는 제이지","무슨 문제였는데 뭐냐"
2024-08-10 11:02:59,"Okddori","저두.."
2024-08-10 11:02:59,"리듬타는 제이지","ㄱㄱ"
2024-08-10 11:02:59,"엄지척 어피치","저는 그거 식 만들어보니까 신뢰도여서 고르긴했는데"
2024-08-10 11:02:59,"일하기 싫은 네오","ㅜㅜㅜ아 신뢰도했는데"
2024-08-10 11:03:01,"멋쩍은 튜브","향상도임"
2024-08-10 11:03:02,"엄지척 어피치","틀렸나 "
2024-08-10 11:03:03,"궁시렁 프로도","궁시렁 프로도님이 나갔습니다."
2024-08-10 11:03:03,"리듬타는 제이지","향상도 ㅇㅇ"
